"","print_type","material","fcomp_additive_wt_pct","fcomp_salt_wt_pct","ionic_conductivity_final"
"1","PCB print","none",5,0,2.25988700564972e-07
"2","PCB print","none",5,0,2.36686390532544e-07
"3","PCB print","none",5,0,3.2e-07
"4","PCB print","none",5,0,1.28205128205128e-07
"5","PCB print","none",5,0,7.23327305605787e-08
"6","PCB print","none",5,0,9.28074245939675e-08
"7","PCB print","none",5,0,1.14942528735632e-07
"8","PCB print","none",5,0,9.95024875621891e-08
"9","PCB print","none",5,0,1.6597510373444e-08
"10","PCB print","none",5,0,1.72413793103448e-08
"11","PCB print","none",5,0,1.88679245283019e-08
"12","PCB print","none",5,0,1.66666666666667e-08
"13","PCB print","none",5,0,2e-08
"14","PCB print","none",5,0,2.51572327044025e-08
"15","PCB print","none",5,0,2.7972027972028e-08
"16","PCB print","none",5,0,2.46913580246914e-08
"17","PCB print","none",10,0,4.4004400440044e-08
"18","PCB print","none",10,0,3.36134453781513e-08
"19","PCB print","none",10,0,4.31499460625674e-08
"20","PCB print","none",10,0,3.17460317460317e-08
"21","PCB print","none",10,0,3.84615384615385e-08
"22","PCB print","none",10,0,4.26439232409382e-08
"23","PCB print","none",10,0,4.48430493273543e-08
"24","PCB print","none",10,0,2.73972602739726e-08
"25","PCB print","LiTFSI",0,10,2.35294117647059e-06
"26","PCB print","LiTFSI",0,10,2.51572327044025e-06
"27","PCB print","LiTFSI",0,10,3.96039603960396e-06
"28","PCB print","LiTFSI",0,10,2.23463687150838e-06
"29","PCB print","LiTFSI",2.1,10,3.05343511450382e-06
"30","PCB print","LiTFSI",2.1,10,3.17460317460317e-06
"31","PCB print","LiTFSI",2.1,10,4.91400491400491e-06
"32","PCB print","LiTFSI",2.1,10,2.23463687150838e-06
"33","PCB print","LiTFSI",4.3,10,2.7027027027027e-06
"34","PCB print","LiTFSI",4.3,10,3.6036036036036e-06
"35","PCB print","LiTFSI",4.3,10,4.74495848161329e-06
"36","PCB print","LiTFSI",4.3,10,2.05128205128205e-06
"37","PCB print","LiTFSI",6.4,10,2.68456375838926e-06
"38","PCB print","LiTFSI",6.4,10,2.64900662251656e-06
"39","PCB print","LiTFSI",6.4,10,2.11640211640212e-06
"40","PCB print","LiTFSI",8.6,10,1.16959064327485e-06
"41","PCB print","LiTFSI",8.6,10,1.31578947368421e-06
"42","PCB print","LiTFSI",8.6,10,2.12765957446809e-06
"43","PCB print","LiTFSI",8.6,10,1.13314447592068e-06
"44","PCB print","LiTFSI",11,10,1.30718954248366e-06
"45","PCB print","LiTFSI",11,10,1.44927536231884e-06
"46","PCB print","LiTFSI",11,10,2.02020202020202e-06
"47","PCB print","LiTFSI",11,10,1.61290322580645e-06
"48","PCB print","LiTFSI",13,10,1.23456790123457e-06
"49","PCB print","LiTFSI",13,10,1.60642570281125e-06
"50","PCB print","LiTFSI",13,10,2.25988700564972e-06
"51","PCB print","LiTFSI",13,10,1.36518771331058e-06
"52","PCB print","LiTFSI",15,10,1.48148148148148e-06
"53","PCB print","LiTFSI",15,10,1.61290322580645e-06
"54","PCB print","LiTFSI",15,10,2.56410256410256e-06
"55","PCB print","LiTFSI",15,10,1.06382978723404e-06
"56","PCB print","LiTFSI",0,10,1.86046511627907e-06
"57","PCB print","LiTFSI",0,10,7.25952813067151e-06
"58","PCB print","LiTFSI",0,10,9.9009900990099e-06
"59","PCB print","LiTFSI",0,10,3.33333333333333e-06
"60","PCB print","LiTFSI",2.1,10,1.9047619047619e-06
"61","PCB print","LiTFSI",2.1,10,5.31208499335989e-06
"62","PCB print","LiTFSI",2.1,10,7.25952813067151e-06
"63","PCB print","LiTFSI",2.1,10,2.48447204968944e-06
"64","PCB print","LiTFSI",4.3,10,1.99004975124378e-06
"65","PCB print","LiTFSI",4.3,10,4e-06
"66","PCB print","LiTFSI",4.3,10,5.32623169107856e-06
"67","PCB print","LiTFSI",4.3,10,2.33918128654971e-06
"68","PCB print","LiTFSI",6.4,10,2.08333333333333e-06
"69","PCB print","LiTFSI",6.4,10,3.77358490566038e-06
"70","PCB print","LiTFSI",6.4,10,5.0314465408805e-06
"71","PCB print","LiTFSI",6.4,10,2.39520958083832e-06
"72","PCB print","LiTFSI",0,30,6.0882800608828e-06
"73","PCB print","LiTFSI",0,30,5.89970501474926e-06
"74","PCB print","LiTFSI",0,30,5.74712643678161e-06
"75","PCB print","LiTFSI",0,30,5.84795321637427e-06
"76","PCB print","LiTFSI",0,30,7.19424460431655e-06
"77","PCB print","LiTFSI",0,30,7.67754318618042e-06
"78","PCB print","LiTFSI",0,30,5.61009817671809e-06
"79","PCB print","LiTFSI",0,30,5.48696844993141e-06
"80","PCB print","LiTFSI",0,26,4.68384074941452e-06
"81","PCB print","LiTFSI",0,26,4.739336492891e-06
"82","PCB print","LiTFSI",0,26,5.0761421319797e-06
"83","PCB print","LiTFSI",0,26,4.79616306954436e-06
"84","PCB print","LiTFSI",0,26,6.50406504065041e-06
"85","PCB print","LiTFSI",0,26,6.35930047694754e-06
"86","PCB print","LiTFSI",0,26,4.23280423280423e-06
"87","PCB print","LiTFSI",0,26,4.51467268623025e-06
"88","PCB print","LiTFSI",0,21,5.42005420054201e-06
"89","PCB print","LiTFSI",0,21,5.18806744487678e-06
"90","PCB print","LiTFSI",0,21,5.16129032258065e-06
"91","PCB print","LiTFSI",0,21,5.32623169107856e-06
"92","PCB print","LiTFSI",0,21,6.98080279232112e-06
"93","PCB print","LiTFSI",0,21,7.0298769771529e-06
"94","PCB print","LiTFSI",0,21,4.31965442764579e-06
"95","PCB print","LiTFSI",0,21,4.3956043956044e-06
"96","PCB print","LiTFSI",0,17,4.59770114942529e-06
"97","PCB print","LiTFSI",0,17,4.84848484848485e-06
"98","PCB print","LiTFSI",0,17,5.44959128065395e-06
"99","PCB print","LiTFSI",0,17,5.50206327372765e-06
"100","PCB print","LiTFSI",0,17,7.5187969924812e-06
"101","PCB print","LiTFSI",0,17,7.25952813067151e-06
"102","PCB print","LiTFSI",0,17,4.55580865603645e-06
"103","PCB print","LiTFSI",0,17,4.53001132502831e-06
"104","PCB print","LiTFSI",0,13,5.20156046814044e-06
"105","PCB print","LiTFSI",0,13,5.22193211488251e-06
"106","PCB print","LiTFSI",0,13,6.06980273141123e-06
"107","PCB print","LiTFSI",0,13,6.04229607250755e-06
"108","PCB print","LiTFSI",0,13,7.75193798449612e-06
"109","PCB print","LiTFSI",0,13,4.50958286358512e-06
"110","PCB print","LiTFSI",0,8.6,4.62962962962963e-06
"111","PCB print","LiTFSI",0,8.6,4.33839479392625e-06
"112","PCB print","LiTFSI",0,8.6,6.22083981337481e-06
"113","PCB print","LiTFSI",0,8.6,3.53982300884956e-06
"114","PCB print","LiTFSI",0,4.3,3.47826086956522e-06
"115","PCB print","LiTFSI",0,4.3,3.27868852459016e-06
"116","PCB print","LiTFSI",0,4.3,4.17101147028154e-06
"117","PCB print","LiTFSI",0,4.3,2.96296296296296e-06
"118","PCB print","none",0,0,1.13636363636364e-06
"119","PCB print","none",0,0,1.31147540983607e-06
"120","PCB print","none",0,0,1.28617363344051e-06
"121","PCB print","none",0,0,1.29032258064516e-06
"122","PCB print","LiTFSI",0,30,6.31911532385466e-06
"123","PCB print","LiTFSI",0,30,5.83941605839416e-06
"124","PCB print","LiTFSI",0,30,7.79727095516569e-06
"125","PCB print","LiTFSI",0,26,6.09756097560976e-06
"126","PCB print","LiTFSI",0,26,6.19195046439629e-06
"127","PCB print","LiTFSI",0,26,7.84313725490196e-06
"128","PCB print","LiTFSI",0,26,5.44959128065395e-06
"129","PCB print","LiTFSI",0,21,6.18238021638331e-06
"130","PCB print","LiTFSI",0,21,6.1633281972265e-06
"131","PCB print","LiTFSI",0,21,9.0702947845805e-06
"132","PCB print","LiTFSI",0,21,6.7001675041876e-06
"133","PCB print","LiTFSI",0,17,5.42740841248304e-06
"134","PCB print","LiTFSI",0,17,6.17283950617284e-06
"135","PCB print","LiTFSI",0,17,8.62068965517241e-06
"136","PCB print","LiTFSI",0,17,5.51724137931034e-06
"137","PCB print","LiTFSI",0,13,4.3859649122807e-06
"138","PCB print","LiTFSI",0,13,5.81395348837209e-06
"139","PCB print","LiTFSI",0,13,7.57575757575758e-06
"140","PCB print","LiTFSI",0,13,5.14800514800515e-06
"141","PCB print","LiTFSI",0,8.6,5.10855683269476e-06
"142","PCB print","LiTFSI",0,8.6,5.16129032258065e-06
"143","PCB print","LiTFSI",0,8.6,6.8259385665529e-06
"144","PCB print","LiTFSI",0,8.6,4.46927374301676e-06
"145","PCB print","LiTFSI",0,4.3,3.57142857142857e-06
"146","PCB print","LiTFSI",0,4.3,3.41880341880342e-06
"147","PCB print","LiTFSI",0,4.3,4.33369447453955e-06
"148","PCB print","LiTFSI",0,4.3,2.85714285714286e-06
"149","PCB print","none",0,0,1.14285714285714e-06
"150","PCB print","none",0,0,1.2012012012012e-06
"151","PCB print","none",0,0,1.35593220338983e-06
"152","PCB print","none",0,0,1.19760479041916e-06
"153","PCB print","LiTFSI",0,30,6.66666666666667e-06
"154","PCB print","LiTFSI",0,30,6.62251655629139e-06
"155","PCB print","LiTFSI",0,30,9.17431192660551e-06
"156","PCB print","LiTFSI",0,30,4.92004920049201e-06
"157","PCB print","LiTFSI",0,26,6.65557404326123e-06
"158","PCB print","LiTFSI",0,26,6.81431005110733e-06
"159","PCB print","LiTFSI",0,26,6.55737704918033e-06
"160","PCB print","LiTFSI",0,21,7.23327305605787e-06
"161","PCB print","LiTFSI",0,21,6.99300699300699e-06
"162","PCB print","LiTFSI",0,21,9.1533180778032e-06
"163","PCB print","LiTFSI",0,21,6.47249190938511e-06
"164","PCB print","LiTFSI",0,17,6.45161290322581e-06
"165","PCB print","LiTFSI",0,17,6.98080279232112e-06
"166","PCB print","LiTFSI",0,17,9.1533180778032e-06
"167","PCB print","LiTFSI",0,17,5.84795321637427e-06
"168","PCB print","LiTFSI",0,13,5.78871201157742e-06
"169","PCB print","LiTFSI",0,13,4.9079754601227e-06
"170","PCB print","LiTFSI",0,13,6.9204152249135e-06
"171","PCB print","LiTFSI",0,13,5.6657223796034e-06
"172","PCB print","LiTFSI",0,8.6,5.42005420054201e-06
"173","PCB print","LiTFSI",0,8.6,3.7037037037037e-06
"174","PCB print","LiTFSI",0,8.6,4.63499420625724e-06
"175","PCB print","LiTFSI",0,8.6,4.07747196738022e-06
"176","PCB print","LiTFSI",0,4.3,2.51572327044025e-06
"177","PCB print","LiTFSI",0,4.3,3.2258064516129e-06
"178","PCB print","LiTFSI",0,4.3,3.96039603960396e-06
"179","PCB print","LiTFSI",0,4.3,3.2e-06
"180","PCB print","LiTFSI",15,30,3.80952380952381e-06
"181","PCB print","LiTFSI",15,30,4.66744457409568e-06
"182","PCB print","LiTFSI",15,30,6.71140939597315e-06
"183","PCB print","LiTFSI",15,30,4.32900432900433e-06
"184","PCB print","LiTFSI",13,30,4.77326968973747e-06
"185","PCB print","LiTFSI",13,30,4.9813200498132e-06
"186","PCB print","LiTFSI",13,30,6.89655172413793e-06
"187","PCB print","LiTFSI",13,30,3.53982300884956e-06
"188","PCB print","LiTFSI",11,30,3.27868852459016e-06
"189","PCB print","LiTFSI",11,30,4.36205016357688e-06
"190","PCB print","LiTFSI",11,30,5.83090379008746e-06
"191","PCB print","LiTFSI",11,30,4.02010050251256e-06
"192","PCB print","LiTFSI",8.6,30,3.92156862745098e-06
"193","PCB print","LiTFSI",8.6,30,4.63499420625724e-06
"194","PCB print","LiTFSI",8.6,30,6.7001675041876e-06
"195","PCB print","LiTFSI",8.6,30,3.77358490566038e-06
"196","PCB print","LiTFSI",6.4,30,4.3525571273123e-06
"197","PCB print","LiTFSI",6.4,30,4.92610837438424e-06
"198","PCB print","LiTFSI",6.4,30,6.58978583196046e-06
"199","PCB print","LiTFSI",6.4,30,3.30578512396694e-06
"200","PCB print","LiTFSI",4.3,30,3.41880341880342e-06
"201","PCB print","LiTFSI",4.3,30,3.38983050847458e-06
"202","PCB print","LiTFSI",4.3,30,3.7037037037037e-06
"203","PCB print","LiTFSI",2.1,30,4.27350427350427e-06
"204","PCB print","LiTFSI",2.1,30,3.96039603960396e-06
"205","PCB print","LiTFSI",2.1,30,5.62587904360056e-06
"206","PCB print","LiTFSI",2.1,30,2.5e-06
"207","PCB print","LiTFSI",0,30,4.31034482758621e-06
"208","PCB print","LiTFSI",0,30,4.01203610832498e-06
"209","PCB print","LiTFSI",0,30,5.4421768707483e-06
"210","PCB print","LiTFSI",0,30,9.0293453724605e-06
"211","PCB print","LiTFSI",15,30,3.6697247706422e-06
"212","PCB print","LiTFSI",15,30,4.8721071863581e-06
"213","PCB print","LiTFSI",15,30,7.23327305605787e-06
"214","PCB print","LiTFSI",15,30,5.0761421319797e-06
"215","PCB print","LiTFSI",13,30,4.62962962962963e-06
"216","PCB print","LiTFSI",13,30,5.09554140127389e-06
"217","PCB print","LiTFSI",13,30,7.18132854578097e-06
"218","PCB print","LiTFSI",13,30,4.21940928270042e-06
"219","PCB print","LiTFSI",11,30,5.0761421319797e-06
"220","PCB print","LiTFSI",11,30,5.4945054945055e-06
"221","PCB print","LiTFSI",11,30,6.93240901213172e-06
"222","PCB print","LiTFSI",11,30,4.9079754601227e-06
"223","PCB print","LiTFSI",8.6,30,4.76758045292014e-06
"224","PCB print","LiTFSI",8.6,30,4.84848484848485e-06
"225","PCB print","LiTFSI",8.6,30,6.93240901213172e-06
"226","PCB print","LiTFSI",8.6,30,4.47427293064877e-06
"227","PCB print","LiTFSI",15,30,3.63636363636364e-06
"228","PCB print","LiTFSI",15,30,5.20833333333333e-06
"229","PCB print","LiTFSI",15,30,7.14285714285714e-06
"230","PCB print","LiTFSI",15,30,4.70035252643948e-06
"231","PCB print","LiTFSI",13,30,5.47195622435021e-06
"232","PCB print","LiTFSI",13,30,4.84848484848485e-06
"233","PCB print","LiTFSI",13,30,7.05467372134039e-06
"234","PCB print","LiTFSI",13,30,4.4543429844098e-06
"235","PCB print","LiTFSI",11,30,4.62962962962963e-06
"236","PCB print","LiTFSI",11,30,4.29184549356223e-06
"237","PCB print","LiTFSI",11,30,5.95238095238095e-06
"238","PCB print","LiTFSI",11,30,6.05143721633888e-06
"239","PCB print","LiTFSI",8.6,30,3.73831775700935e-06
"240","PCB print","LiTFSI",8.6,30,4.4296788482835e-06
"241","PCB print","LiTFSI",8.6,30,6.25e-06
"242","PCB print","LiTFSI",8.6,30,4.8721071863581e-06
"243","PCB print","LiTFSI",6.4,30,4e-06
"244","PCB print","LiTFSI",6.4,30,4.79041916167665e-06
"245","PCB print","LiTFSI",6.4,30,7.01754385964912e-06
"246","PCB print","LiTFSI",6.4,30,4.50958286358512e-06
"247","PCB print","LiTFSI",4.3,30,4.3859649122807e-06
"248","PCB print","LiTFSI",4.3,30,5.01882057716437e-06
"249","PCB print","LiTFSI",4.3,30,6.44122383252818e-06
"250","PCB print","LiTFSI",4.3,30,6.57894736842105e-06
"251","PCB print","LiTFSI",2.1,30,4.5766590389016e-06
"252","PCB print","LiTFSI",2.1,30,4.76190476190476e-06
"253","PCB print","LiTFSI",2.1,30,6.88468158347676e-06
"254","PCB print","LiTFSI",2.1,30,4.40528634361234e-06
"255","PCB print","LiTFSI",0,30,3.2e-06
"256","PCB print","LiTFSI",0,30,2.7027027027027e-06
"257","PCB print","LiTFSI",0,30,3.84615384615385e-06
"258","PCB print","LiTFSI",0,30,3.30578512396694e-06
"259","PCB print","LiTFSI",0,4.3,3.00751879699248e-06
"260","PCB print","LiTFSI",0,4.3,2.42424242424242e-06
"261","PCB print","LiTFSI",0,8.6,5.32623169107856e-06
"262","PCB print","LiTFSI",0,8.6,6.50406504065041e-06
"263","PCB print","LiTFSI",0,8.6,4.80769230769231e-06
"264","PCB print","LiTFSI",0,13,5.98802395209581e-06
"265","PCB print","LiTFSI",0,13,4.51467268623025e-06
"266","PCB print","LiTFSI",0,13,9.11161731207289e-06
"267","PCB print","LiTFSI",0,17,5.91715976331361e-06
"268","PCB print","LiTFSI",0,17,6.58978583196046e-06
"269","PCB print","LiTFSI",0,17,8.88888888888889e-06
"270","PCB print","LiTFSI",0,17,6.72268907563025e-06
"271","PCB print","LiTFSI",0,21,7.25952813067151e-06
"272","PCB print","LiTFSI",0,21,7.56143667296786e-06
"273","PCB print","LiTFSI",0,21,6.73400673400673e-06
"274","PCB print","LiTFSI",0,26,3.6697247706422e-06
"275","PCB print","LiTFSI",0,26,4.58190148911798e-06
"276","PCB print","LiTFSI",0,26,7.39371534195933e-06
"277","PCB print","LiTFSI",0,26,3.88349514563107e-06
"278","PCB print","LiTFSI",0,30,1.16279069767442e-06
"279","PCB print","LiTFSI",0,30,1.52091254752852e-06
"280","PCB print","LiTFSI",0,30,1.0840108401084e-06
"281","PCB print","none",0,0,4.32900432900433e-07
"282","PCB print","none",0,0,5.46448087431694e-07
"283","PCB print","none",0,0,4.8661800486618e-07
"284","PCB print","LiTFSI",0,4.3,2.94117647058824e-06
"285","PCB print","LiTFSI",0,4.3,3.73831775700935e-06
"286","PCB print","LiTFSI",0,4.3,3.07692307692308e-06
"287","PCB print","LiTFSI",0,8.6,5.0251256281407e-06
"288","PCB print","LiTFSI",0,8.6,6.48298217179903e-06
"289","PCB print","LiTFSI",0,8.6,5.20156046814044e-06
"290","PCB print","LiTFSI",0,13,5.58659217877095e-06
"291","PCB print","LiTFSI",0,13,5.17464424320828e-06
"292","PCB print","LiTFSI",0,13,6.98080279232112e-06
"293","PCB print","LiTFSI",0,13,5.91715976331361e-06
"294","PCB print","LiTFSI",0,17,6.25978090766823e-06
"295","PCB print","LiTFSI",0,17,6.89655172413793e-06
"296","PCB print","LiTFSI",0,17,9.52380952380952e-06
"297","PCB print","LiTFSI",0,17,6.47249190938511e-06
"298","PCB print","LiTFSI",0,21,6.27943485086342e-06
"299","PCB print","LiTFSI",0,21,7.09219858156028e-06
"300","PCB print","LiTFSI",0,21,9.87654320987654e-06
"301","PCB print","LiTFSI",0,21,7.67754318618042e-06
"302","PCB print","LiTFSI",0,26,7.23327305605787e-06
"303","PCB print","LiTFSI",0,26,4.79041916167665e-06
"304","PCB print","LiTFSI",0,26,4.28724544480172e-06
"305","PCB print","LiTFSI",0,26,4.17972831765935e-06
"306","PCB print","LiTFSI",0,30,3.38983050847458e-06
"307","PCB print","LiTFSI",0,30,1.75438596491228e-06
"308","PCB print","none",0,0,4.25985090521832e-07
"309","PCB print","none",0,0,4.02010050251256e-07
"310","PCB print","none",0,0,4.56100342075257e-07
"311","PCB print","none",0,0,4.5045045045045e-07
"312","PCB print","LiTFSI",0,4.3,2.87769784172662e-06
"313","PCB print","LiTFSI",0,4.3,3.6697247706422e-06
"314","PCB print","LiTFSI",0,4.3,2.83687943262411e-06
"315","PCB print","LiTFSI",0,8.6,8.35073068893528e-06
"316","PCB print","LiTFSI",0,8.6,5.27009222661397e-06
"317","PCB print","LiTFSI",0,8.6,7.28597449908925e-06
"318","PCB print","LiTFSI",0,13,4.96277915632754e-06
"319","PCB print","LiTFSI",0,13,6.0790273556231e-06
"320","PCB print","LiTFSI",0,13,8.94854586129754e-06
"321","PCB print","LiTFSI",0,13,4.77326968973747e-06
"322","PCB print","LiTFSI",0,17,6.23052959501558e-06
"323","PCB print","LiTFSI",0,17,6.05143721633888e-06
"324","PCB print","LiTFSI",0,17,8.33333333333333e-06
"325","PCB print","LiTFSI",0,17,5.78034682080925e-06
"326","PCB print","LiTFSI",0,21,5.8055152394775e-06
"327","PCB print","LiTFSI",0,21,7.04225352112676e-06
"328","PCB print","LiTFSI",0,21,8.88888888888889e-06
"329","PCB print","LiTFSI",0,21,5.1948051948052e-06
"330","PCB print","LiTFSI",0,26,4.83091787439614e-06
"331","PCB print","LiTFSI",0,26,6.45161290322581e-06
"332","PCB print","LiTFSI",0,26,3.63636363636364e-06
"333","PCB print","LiTFSI",0,30,1.35135135135135e-06
"334","PCB print","LiTFSI",0,30,1.86915887850467e-06
"335","PCB print","none",7.5,0,3.73831775700935e-07
"336","PCB print","none",7.5,0,3.80952380952381e-07
"337","PCB print","none",7.5,0,4.8721071863581e-07
"338","PCB print","none",7.5,0,4.54545454545455e-07
"339","PCB print","LiTFSI",7.5,4.3,5.26315789473684e-07
"340","PCB print","LiTFSI",7.5,4.3,7.11743772241993e-07
"341","PCB print","LiTFSI",7.5,8.6,4.6242774566474e-06
"342","PCB print","LiTFSI",7.5,8.6,4.3010752688172e-06
"343","PCB print","LiTFSI",7.5,8.6,5.57880055788006e-06
"344","PCB print","LiTFSI",7.5,8.6,3.80952380952381e-06
"345","PCB print","LiTFSI",7.5,13,4.93218249075216e-06
"346","PCB print","LiTFSI",7.5,13,4e-06
"347","PCB print","LiTFSI",7.5,13,4.71698113207547e-06
"348","PCB print","LiTFSI",7.5,13,4.54545454545455e-06
"349","PCB print","LiTFSI",7.5,17,4.33839479392625e-06
"350","PCB print","LiTFSI",7.5,17,4.98753117206983e-06
"351","PCB print","LiTFSI",7.5,17,6.1633281972265e-06
"352","PCB print","LiTFSI",7.5,17,4.65116279069767e-06
"353","PCB print","LiTFSI",7.5,30,3.38983050847458e-05
"354","PCB print","LiTFSI",7.5,30,3.92156862745098e-07
"355","PCB print","LiTFSI",7.5,30,3.57142857142857e-07
"356","PCB print","LiTFSI",7.5,30,1.35135135135135e-06
"357","PCB print","none",7.5,0,4.77897252090801e-07
"358","PCB print","none",7.5,0,3.77358490566038e-07
"359","PCB print","none",7.5,0,4.33839479392625e-07
"360","PCB print","LiTFSI",7.5,4.3,5.95238095238095e-06
"361","PCB print","LiTFSI",7.5,4.3,2.7027027027027e-06
"362","PCB print","LiTFSI",7.5,4.3,3.80952380952381e-06
"363","PCB print","LiTFSI",7.5,4.3,1.63934426229508e-06
"364","PCB print","LiTFSI",7.5,8.6,5.72246065808298e-06
"365","PCB print","LiTFSI",7.5,8.6,4.8661800486618e-06
"366","PCB print","LiTFSI",7.5,8.6,5.06970849176172e-06
"367","PCB print","LiTFSI",7.5,8.6,4.65116279069767e-06
"368","PCB print","LiTFSI",7.5,13,5.84795321637427e-06
"369","PCB print","LiTFSI",7.5,13,4.07331975560082e-06
"370","PCB print","LiTFSI",7.5,13,4.49438202247191e-06
"371","PCB print","LiTFSI",7.5,17,5.32623169107856e-06
"372","PCB print","LiTFSI",7.5,17,5.0314465408805e-06
"373","PCB print","LiTFSI",7.5,17,6.87285223367698e-06
"374","PCB print","LiTFSI",7.5,17,3.1496062992126e-06
"375","PCB print","LiTFSI",7.5,21,9.19540229885057e-06
"376","PCB print","LiTFSI",7.5,21,5.00625782227785e-06
"377","PCB print","LiTFSI",7.5,21,7.01754385964912e-06
"378","PCB print","LiTFSI",7.5,21,4.33369447453955e-06
"379","PCB print","LiTFSI",7.5,26,5.0125313283208e-06
"380","PCB print","LiTFSI",7.5,26,4.80769230769231e-06
"381","PCB print","LiTFSI",7.5,26,6.48298217179903e-06
"382","PCB print","LiTFSI",7.5,26,3.50877192982456e-06
"383","PCB print","LiTFSI",7.5,30,5.32623169107856e-06
"384","PCB print","LiTFSI",7.5,30,4.32900432900433e-06
"385","PCB print","LiTFSI",7.5,30,6.05143721633888e-06
"386","PCB print","LiTFSI",7.5,30,1.70212765957447e-06
"387","PCB print","none",15,0,2.77777777777778e-07
"388","PCB print","none",15,0,2.64900662251656e-07
"389","PCB print","none",15,0,3.50877192982456e-07
"390","PCB print","none",15,0,2.4390243902439e-07
"391","PCB print","LiTFSI",15,4.3,6.57894736842105e-07
"392","PCB print","LiTFSI",15,4.3,7.96812749003984e-07
"393","PCB print","LiTFSI",15,4.3,1.08991825613079e-06
