yaml_path,configs_path,results_path,total_time_sec,n_seeds,n_initial,acquisition,top_ratio,scaler,model_name
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\RANDOM_FOREST-20250925-3k7pogd5-25_EI_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_RANDOM_FOREST-20250925-3k7pogd5-25_EI_10pct.pickle,1296.7726912498474,500,2,EI,0.1,standard,random_forest
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\RANDOM_FOREST-20250925-tiw3dxr1-25_PI_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_RANDOM_FOREST-20250925-tiw3dxr1-25_PI_10pct.pickle,1426.8700051307678,500,2,PI,0.1,standard,random_forest
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\RANDOM_FOREST-20250925-57fnm0v8-25_LCB_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_RANDOM_FOREST-20250925-57fnm0v8-25_LCB_10pct.pickle,1186.712249994278,500,2,LCB,0.1,standard,random_forest
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\RANDOM_FOREST-20250925-hixtsd2b-50_EI_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_RANDOM_FOREST-20250925-hixtsd2b-50_EI_10pct.pickle,2075.116612434387,500,2,EI,0.1,standard,random_forest
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\RANDOM_FOREST-20250925-tkpzoihj-50_PI_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_RANDOM_FOREST-20250925-tkpzoihj-50_PI_10pct.pickle,2025.3452281951904,500,2,PI,0.1,standard,random_forest
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\RANDOM_FOREST-20250925-2rj1klfm-50_LCB_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_RANDOM_FOREST-20250925-2rj1klfm-50_LCB_10pct.pickle,1973.6306347846985,500,2,LCB,0.1,standard,random_forest
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\RANDOM_FOREST-20250925-po64krsw-100_EI_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_RANDOM_FOREST-20250925-po64krsw-100_EI_10pct.pickle,3179.5250992774963,500,2,EI,0.1,standard,random_forest
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\RANDOM_FOREST-20250925-rt280dpj-100_PI_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_RANDOM_FOREST-20250925-rt280dpj-100_PI_10pct.pickle,3208.117974281311,500,2,PI,0.1,standard,random_forest
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\RANDOM_FOREST-20250925-knifow5s-100_LCB_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_RANDOM_FOREST-20250925-knifow5s-100_LCB_10pct.pickle,3520.4290356636047,500,2,LCB,0.1,standard,random_forest
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\GAUSSIAN_PROCESS-20250925-0erycl7b-RBF_EI_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_GAUSSIAN_PROCESS-20250925-0erycl7b-RBF_EI_10pct.pickle,79.57895588874817,500,2,EI,0.1,standard,gaussian_process
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\GAUSSIAN_PROCESS-20250925-25yxsztd-RBF_PI_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_GAUSSIAN_PROCESS-20250925-25yxsztd-RBF_PI_10pct.pickle,84.55930399894714,500,2,PI,0.1,standard,gaussian_process
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\GAUSSIAN_PROCESS-20250925-6cbb5vkc-RBF_LCB_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_GAUSSIAN_PROCESS-20250925-6cbb5vkc-RBF_LCB_10pct.pickle,114.10612630844116,500,2,LCB,0.1,standard,gaussian_process
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\GAUSSIAN_PROCESS-20250925-l6heb3xo-Matern_EI_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_GAUSSIAN_PROCESS-20250925-l6heb3xo-Matern_EI_10pct.pickle,85.1142897605896,500,2,EI,0.1,standard,gaussian_process
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\GAUSSIAN_PROCESS-20250925-hycog352-Matern_PI_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_GAUSSIAN_PROCESS-20250925-hycog352-Matern_PI_10pct.pickle,75.9635214805603,500,2,PI,0.1,standard,gaussian_process
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\GAUSSIAN_PROCESS-20250925-t9xuhsde-Matern_LCB_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_GAUSSIAN_PROCESS-20250925-t9xuhsde-Matern_LCB_10pct.pickle,79.1670708656311,500,2,LCB,0.1,standard,gaussian_process
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\GAUSSIAN_PROCESS-20250925-jdsjqgpp-RQ_EI_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_GAUSSIAN_PROCESS-20250925-jdsjqgpp-RQ_EI_10pct.pickle,204.98084712028503,500,2,EI,0.1,standard,gaussian_process
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\GAUSSIAN_PROCESS-20250925-jyz9aw4a-RQ_PI_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_GAUSSIAN_PROCESS-20250925-jyz9aw4a-RQ_PI_10pct.pickle,284.6604781150818,500,2,PI,0.1,standard,gaussian_process
C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\configs\GAUSSIAN_PROCESS-20250925-yrnfduvz-RQ_LCB_10pct.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\configs.yaml,C:\Users\jimenez45\Documents\Git\23-spoc_code\BO_scripts\results\results_GAUSSIAN_PROCESS-20250925-yrnfduvz-RQ_LCB_10pct.pickle,285.6171078681946,500,2,LCB,0.1,standard,gaussian_process
